time,flopop,patient,confirmation,index
2.0,883277.5119617283,3.0,0.0,9
3.0,-881315.7894736826,1.0,0.0,9
4.0,17157535.88516745,8.0,2.0,9
5.0,-19933349.282296658,6.0,0.0,9
6.0,-5037177.0334928185,-15.0,5.0,9
7.0,4103947.368421048,-3.0,-1.0,9
8.0,277751.1961722523,6.0,-4.0,9
9.0,527894.7368421108,3.0,-1.0,9
10.0,-222631.57894736528,-9.0,3.0,9
11.0,-3072081.339712918,0.0,-4.0,9
12.0,3599665.0717703253,0.0,0.0,9
13.0,-5498349.282296643,2.0,0.0,9
14.0,1350861.2440191358,3.0,0.0,9
15.0,5334904.306220084,1.0,2.0,9
16.0,-247775.11961722374,7.0,-1.0,9
17.0,-7021650.717703342,-10.0,7.0,9
0.0,14114.832535892725,2.0,0.0,10
1.0,2755023.9234449714,2.0,0.0,10
2.0,-581626.794258371,-3.0,0.0,10
3.0,-203803.82775120437,4.0,0.0,10
4.0,16048349.282296658,11.0,1.0,10
5.0,-14535311.004784688,0.0,2.0,10
6.0,-4116650.7177033573,1.0,15.0,10
7.0,3112727.272727281,-15.0,-15.0,10
8.0,155000.0,3.0,-2.0,10
9.0,753468.8995215297,-4.0,3.0,10
10.0,212894.73684211075,-1.0,-3.0,10
11.0,-239401.91387560964,0.0,-1.0,10
12.0,-19760.765550225973,0.0,0.0,10
13.0,-2308588.5167464167,0.0,0.0,10
14.0,1115837.3205741644,2.0,0.0,10
15.0,1144904.3062200993,5.0,3.0,10
16.0,-179641.14832536876,-7.0,-3.0,10
17.0,-5302727.272727266,5.0,0.0,10
0.0,3052966.507177025,2.0,0.0,11
1.0,2706507.177033484,-1.0,1.0,11
2.0,-626531.1004784703,0.0,-1.0,11
3.0,200813.39712920785,10.0,1.0,11
4.0,27980598.08612439,1.0,8.0,11
5.0,-26915813.397129178,-3.0,-8.0,11
6.0,-6630263.157894731,15.0,2.0,11
7.0,4931913.875598073,-17.0,0.0,11
8.0,-451387.55980861187,8.0,2.0,11
9.0,1000669.8564593196,-12.0,7.0,11
10.0,176722.48803830147,-2.0,-11.0,11
11.0,-139425.83732059598,-1.0,0.0,11
12.0,332559.80861243606,0.0,-1.0,11
13.0,-4283803.8277511895,3.0,0.0,11
14.0,3048349.2822966576,8.0,1.0,11
15.0,2600287.081339717,-9.0,5.0,11
16.0,-613468.8995215297,-1.0,-5.0,11
17.0,-9732655.502392352,2.0,2.0,11
0.0,1121220.095693782,0.0,0.0,12
1.0,3390239.234449759,0.0,0.0,12
2.0,-79210.5263157934,1.0,0.0,12
3.0,-938038.2775119692,5.0,2.0,12
4.0,13447392.344497621,-2.0,-1.0,12
5.0,-12107248.803827763,-5.0,-1.0,12
6.0,-3572344.4976076484,0.0,0.0,12
7.0,2787990.4306220114,0.0,3.0,12
8.0,-149832.5358851701,7.0,-3.0,12
9.0,909306.2200956941,24.0,1.0,12
10.0,179521.53110048175,-23.0,4.0,12
11.0,-1443827.7511961758,-8.0,2.0,12
12.0,603827.7511961758,3.0,-7.0,12
13.0,-2535837.3205741644,-3.0,1.0,12
14.0,996076.5550239235,7.0,-1.0,12
15.0,2300119.617224872,5.0,2.0,12
16.0,-132846.88995215297,-9.0,-2.0,12
17.0,-4896602.8708134,3.0,18.0,12
0.0,181578.9473684132,0.0,0.0,13
1.0,2472177.0334928334,0.0,0.0,13
2.0,-10334.928229674697,0.0,0.0,13
3.0,-626650.7177033424,4.0,0.0,13
4.0,11781578.947368413,13.0,1.0,13
5.0,-11208923.444976076,-6.0,-1.0,13
6.0,-3806866.02870813,-6.0,4.0,13
7.0,2394282.2966507226,-1.0,-4.0,13
8.0,236698.56459330022,-4.0,4.0,13
9.0,447488.0382775068,3.0,0.0,13
10.0,182057.41626794636,-2.0,-4.0,13
11.0,-2007799.0430621952,-1.0,0.0,13
12.0,1472392.3444976062,0.0,0.0,13
13.0,-3374162.6794258356,1.0,0.0,13
14.0,631555.0239234418,4.0,0.0,13
15.0,3386387.559808612,-2.0,1.0,13
16.0,-291746.411483258,13.0,-1.0,13
17.0,-4088277.5119617283,-6.0,2.0,13
0.0,2041698.5645933002,0.0,0.0,14
1.0,3001244.0191387534,0.0,0.0,14
2.0,-1506842.1052631438,1.0,0.0,14
3.0,366555.02392342687,1.0,0.0,14
4.0,25052870.81339714,5.0,4.0,14
5.0,-22557200.95693779,11.0,-3.0,14
6.0,-4931961.722488046,-9.0,9.0,14
7.0,3208397.1291866004,2.0,-6.0,14
8.0,-506459.3301435411,3.0,-2.0,14
9.0,1271531.1004784703,-7.0,16.0,14
10.0,344162.6794258356,-4.0,-15.0,14
11.0,1437464.1148325205,-3.0,-3.0,14
12.0,-1890191.3875598013,0.0,0.0,14
13.0,-2581196.1722487956,0.0,1.0,14
14.0,2550430.6220095605,8.0,3.0,14
15.0,137392.34449762106,-4.0,2.0,14
16.0,-603803.8277511895,-2.0,-4.0,14
17.0,-7408468.899521545,20.0,2.0,14
0.0,1589425.837320581,0.0,0.0,15
1.0,8225358.851674646,0.0,0.0,15
2.0,1320645.933014363,2.0,0.0,15
3.0,-2038708.1339713037,4.0,2.0,15
4.0,14281722.488038272,4.0,0.0,15
5.0,-18837799.04306221,-8.0,0.0,15
6.0,-4802607.655502379,6.0,1.0,15
7.0,4762129.186602861,-2.0,0.0,15
8.0,146674.64114832878,11.0,5.0,15
9.0,1665023.9234449863,-15.0,2.0,15
10.0,814354.066985637,-1.0,-5.0,15
11.0,-3899521.5311004817,-1.0,-3.0,15
12.0,5277727.272727281,0.0,-2.0,15
13.0,-5593421.052631587,0.0,0.0,15
14.0,-438708.1339712739,6.0,1.0,15
15.0,7814043.062200934,-3.0,0.0,15
16.0,-508301.4354066849,-1.0,1.0,15
17.0,-7576172.248803824,4.0,-2.0,15
0.0,244114.83253589272,3.0,0.0,16
1.0,2234832.53588517,-3.0,1.0,16
2.0,-689377.9904306233,3.0,-1.0,16
3.0,-786794.2583732158,0.0,1.0,16
4.0,14001004.78468901,1.0,1.0,16
5.0,-12994760.76555024,12.0,-2.0,16
6.0,-3069569.3779904395,-1.0,2.0,16
7.0,2906339.712918669,-15.0,2.0,16
8.0,-137775.11961722374,3.0,-1.0,16
9.0,426148.32535883784,-3.0,2.0,16
10.0,141746.411483258,0.0,-5.0,16
11.0,-302583.7320574075,0.0,1.0,16
12.0,-11913.875598087907,0.0,-1.0,16
13.0,-2035119.617224887,0.0,1.0,16
14.0,708899.521531105,14.0,0.0,16
15.0,935311.0047846884,-6.0,1.0,16
16.0,-551363.6363636404,-7.0,-2.0,16
17.0,-4330861.244019136,2.0,5.0,16
0.0,165861.24401913583,0.0,0.0,17
1.0,-1176100.478468895,0.0,0.0,17
2.0,-1064521.5311004817,0.0,0.0,17
3.0,429521.53110048175,0.0,0.0,17
4.0,14804521.531100482,6.0,0.0,17
5.0,-12972272.727272734,-6.0,4.0,17
6.0,-3352822.9665071666,0.0,-3.0,17
7.0,1851889.9521531016,0.0,-1.0,17
8.0,-248301.43540669978,6.0,0.0,17
9.0,617248.8038277626,2.0,0.0,17
10.0,281794.2583732009,-6.0,0.0,17
11.0,780000.0,2.0,0.0,17
12.0,-1286937.7990430593,-3.0,0.0,17
13.0,-555478.4688995332,-1.0,0.0,17
14.0,1327105.2631579041,9.0,0.0,17
15.0,-656842.1052631587,-6.0,3.0,17
16.0,-697320.5741626769,1.0,-1.0,17
17.0,-4480909.090909094,25.0,2.0,17
0.0,717727.272727266,0.0,0.0,18
1.0,2207583.7320574224,0.0,0.0,18
2.0,323732.05741627514,1.0,0.0,18
3.0,-725119.617224887,-1.0,0.0,18
4.0,9388229.66507177,2.0,0.0,18
5.0,-10480622.009569377,1.0,1.0,18
6.0,-2741913.875598088,5.0,0.0,18
7.0,1982081.3397129178,-1.0,2.0,18
8.0,-46866.02870813012,7.0,0.0,18
9.0,487870.8133971244,-6.0,4.0,18
10.0,163875.5980861336,-8.0,-5.0,18
11.0,-933516.7464114875,0.0,-1.0,18
12.0,1257224.8803827763,0.0,-1.0,18
13.0,-1309019.138755992,1.0,1.0,18
14.0,-54377.99043060839,1.0,7.0,18
15.0,592607.6555023789,-2.0,-1.0,18
16.0,-367464.1148325354,1.0,-3.0,18
17.0,-3273133.971291855,6.0,-4.0,18
0.0,2249593.301435411,0.0,0.0,19
1.0,-34258.37320575118,0.0,0.0,19
2.0,-1439043.0622009635,0.0,0.0,19
3.0,-267799.0430621803,2.0,0.0,19
4.0,23992990.43062201,7.0,8.0,19
5.0,-21458014.354066998,1.0,-8.0,19
6.0,-5150000.0,-5.0,6.0,19
7.0,3546052.631578952,-3.0,0.0,19
8.0,-208133.97129186988,5.0,-6.0,19
9.0,1091889.9521531165,-4.0,2.0,19
10.0,294258.3732057512,-3.0,-1.0,19
11.0,1305311.0047846735,0.0,-1.0,19
12.0,-2093564.5933014452,0.0,0.0,19
13.0,-1672081.3397129178,0.0,0.0,19
14.0,3189210.5263158083,1.0,0.0,19
15.0,-1399904.3062201142,3.0,4.0,19
16.0,-387177.0334928036,-3.0,-2.0,19
17.0,-7383827.751196176,0.0,0.0,19
0.0,2505885.1674641073,1.0,1.0,20
1.0,5589162.679425836,-1.0,-1.0,20
2.0,365598.08612440526,1.0,0.0,20
3.0,28636.363636359572,2.0,0.0,20
4.0,15850956.937799051,-1.0,0.0,20
5.0,-17157775.119617224,10.0,0.0,20
6.0,-4135980.861244023,-4.0,7.0,20
7.0,3520215.3110047877,-2.0,-2.0,20
8.0,243110.04784688354,0.0,-4.0,20
9.0,854043.0622009635,1.0,4.0,20
10.0,378708.1339712888,-7.0,-2.0,20
11.0,-689569.3779904246,1.0,-3.0,20
12.0,958684.2105263174,-1.0,2.0,20
13.0,-2685239.234449774,0.0,-2.0,20
14.0,584090.9090909213,5.0,0.0,20
15.0,1705956.9377990365,-5.0,0.0,20
16.0,-728110.0478468835,4.0,0.0,20
17.0,-6038660.287081346,1.0,3.0,20
0.0,649401.9138755947,5.0,1.0,21
1.0,1439736.8421052694,-3.0,0.0,21
2.0,-994784.6889952123,-1.0,-1.0,21
3.0,-19282.296650722623,-2.0,0.0,21
4.0,21056507.1770335,0.0,0.0,21
5.0,-17662655.50239235,3.0,4.0,21
6.0,-4606124.401913881,0.0,-1.0,21
7.0,3104808.6124401987,-2.0,0.0,21
8.0,-225813.39712919295,12.0,0.0,21
9.0,746052.6315789521,-12.0,-2.0,21
10.0,160263.15789473057,-1.0,4.0,21
11.0,471052.6315789521,3.0,-3.0,21
12.0,-1483229.6650717705,-3.0,-2.0,21
13.0,-1896483.2535885125,0.0,1.0,21
14.0,2490239.234449759,0.0,1.0,21
15.0,212535.8851674646,2.0,-1.0,21
16.0,-549856.4593301415,1.0,0.0,21
17.0,-5950741.626794264,0.0,0.0,21
0.0,1705980.8612440228,0.0,0.0,22
1.0,2110358.8516746312,0.0,0.0,22
2.0,-749641.1483253539,0.0,0.0,22
3.0,202272.72727273405,7.0,0.0,22
4.0,16588995.215311006,0.0,1.0,22
5.0,-15559234.44976078,-7.0,0.0,22
6.0,-3168971.2918660194,1.0,-1.0,22
7.0,3169832.53588517,-1.0,2.0,22
8.0,-244784.68899522722,5.0,-2.0,22
9.0,284569.37799043953,-5.0,3.0,22
10.0,-41483.25358851254,1.0,-2.0,22
11.0,443540.6698564589,-1.0,-1.0,22
12.0,-1254043.0622009635,0.0,0.0,22
13.0,-1263564.5933014303,0.0,0.0,22
14.0,1831507.177033484,1.0,2.0,22
15.0,-196363.63636362553,-1.0,0.0,22
16.0,-340454.5454545468,1.0,-1.0,22
17.0,-5515813.397129193,-1.0,0.0,22
0.0,-226794.2583732009,0.0,0.0,23
1.0,-3277679.425837323,0.0,0.0,23
2.0,-1597200.9569378048,0.0,0.0,23
3.0,337464.1148325354,2.0,0.0,23
4.0,16756626.794258371,3.0,0.0,23
5.0,-11873588.516746402,1.0,1.0,23
6.0,-3123875.5980861336,-3.0,0.0,23
7.0,1896004.7846889943,-2.0,-1.0,23
8.0,-523564.59330143034,2.0,3.0,23
9.0,318779.904306218,2.0,-1.0,23
10.0,-117392.34449760616,-4.0,-1.0,23
11.0,866555.0239234418,-1.0,0.0,23
12.0,-1295023.9234449714,0.0,-1.0,23
13.0,-583181.8181818128,0.0,0.0,23
14.0,1778133.971291855,2.0,1.0,23
15.0,-1214569.3779904246,-1.0,3.0,23
16.0,-472248.8038277477,0.0,-2.0,23
17.0,-4559688.995215312,-1.0,1.0,23
0.0,2200215.3110047877,0.0,0.0,24
1.0,-176148.32535885274,0.0,0.0,24
2.0,-804019.138755992,0.0,0.0,24
3.0,262727.27272728086,3.0,1.0,24
4.0,20180980.861244008,-3.0,2.0,24
5.0,-17991100.478468895,2.0,-3.0,24
6.0,-4245789.473684207,1.0,1.0,24
7.0,3212511.961722493,-3.0,1.0,24
8.0,-411889.95215311646,12.0,0.0,24
9.0,61435.406698569655,-6.0,1.0,24
10.0,-82990.43062201142,-5.0,-2.0,24
11.0,320047.8468899429,-1.0,-1.0,24
12.0,-771889.9521531016,0.0,0.0,24
13.0,-2139952.153110042,1.0,0.0,24
14.0,2367200.95693779,4.0,2.0,24
15.0,-33708.1339712888,-4.0,2.0,24
16.0,-657775.1196172237,0.0,-1.0,24
17.0,-6239712.918660283,3.0,-1.0,24
